word,description
Synergie,"Fusionner deux incompétences pour produire un désastre coordonné."
Leadership,"S’approprier les succès de l’équipe et disparaître dès que ça tourne mal."
Empowerment,"Déléguer sans moyens, sans pouvoir et avec un grand sourire hypocrite."
Lean management,"Optimiser à mort jusqu’à ce que personne ne reste pour faire le boulot."
Vision stratégique,"Un rêve flou présenté avec des slides moches en comité exécutif."
Core business,"La seule chose qu’on oublie quand on fait semblant d’innover."
Think outside the box,"Proposer des idées absurdes et coûteuses pour paraître créatif."
Change management,"Faire croire qu’un crash est une manœuvre contrôlée."
Stakeholder engagement,"Bombarder tout le monde d’emails sans contenu pour éviter les décisions."
KPI-driven,"Maximiser des chiffres inutiles pendant que tout s’écroule autour."
Roadmap,"Une ligne droite vers l’échec recouverte de jolis milestones."
Agility,"Changer de direction sans prévenir et blâmer les équipes pour la confusion."
Holacracy,"Un système où tout le monde décide de rien dans un flou artistique collectif."
Digital transformation,"Installer Slack et acheter un abonnement Notion pour dire qu'on est digital."
Sustainability strategy,"Mettre un logo vert sur le site pendant qu’on crame la planète avec l'autre main."
Corporate culture,"Un ensemble de buzzwords que personne ne comprend mais qu’on imprime sur des mugs."
Middle management,"Une armée de relais de mails qui ne décident rien mais ralentissent tout."
One-to-one,"Une séance de micromanagement déguisée en écoute bienveillante."
Brainstorming,"Un concours d’idées stupides criées plus fort que les autres."
Performance review,"Un rituel annuel pour rappeler aux employés à quel point ils sont remplaçables."
OKR,"Des objectifs qu’on change tous les trimestres pour justifier l’échec précédent."
On track,"Traduction agile de 'ça crame mais c’est sous contrôle'."
Agilité transverse,"Scrumer entre équipes sans backlog ni livrable."
KPI booster,"Un script pour faire mentir les dashboards."
Circle back,"Revenir vers toi dans 6 semaines avec la même incertitude."
